id,rate_avg_kg_hr,rate_detected_kg_hr,plume_count,timestamp_min,timestamp_max,latitude,longitude,nearest_well_api,nearest_well_operator,operator_number,distance_to_nearest_well_km,total_wells_within_500m,operator_wells_within_500m,confidence_score,purchaser_names
CH4_1B2_250m_-101.72797_31.94149?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,171.37690557859275,342.75,1,2025-07-30,2025-07-30,31.94149,-101.72797,173-33526,XTO ENERGY INC.,945936,0.38,8,7,60.4,"[36586] ATLAS PL MID-CONT. WESTTEX, LLC; [36584] ATLAS PIPELINE MID-CONTINENT LLC; [252017] ENERGY TRANSFER COMPANY; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-101.74676_31.94553?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,165.99500761725173,331.99,1,2025-07-30,2025-07-30,31.94553,-101.74676,173-33614,XTO ENERGY INC.,945936,0.46,1,1,68.0,"[36586] ATLAS PL MID-CONT. WESTTEX, LLC; [36584] ATLAS PIPELINE MID-CONTINENT LLC; [836041] TARGA PL MID-CONT WESTTEX LLC; [252017] ENERGY TRANSFER COMPANY"
CH4_1B2_250m_-101.79967_31.73861?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-07-30,2025-07-30,31.73861,-101.79967,329-35386,"PIONEER NATURAL RES. USA, INC.",665748,0.15,3,3,86.6,"[36586] ATLAS PL MID-CONT. WESTTEX, LLC; [913450] WGR, INC.; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-101.74906_31.85215?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-07-30,2025-07-30,31.85215,-101.74906,173-31492,"PIONEER NATURAL RES. USA, INC.",665748,0.06,19,1,38.4,"[230719] DUKE ENERGY FIELD SERVICES, LP; [36586] ATLAS PL MID-CONT. WESTTEX, LLC; [913450] WGR, INC.; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_6A_500m_-95.19135_29.42478?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,1759.2884936048388,1759.29,1,2025-07-29,2025-07-29,29.42478,-95.19135,167-2072,"SUPERIOR OIL COMPANY, THE",830280,0.36,1,1,74.9,[273995] FLORIDA GAS TRANSMISSION COMPANY
CH4_1B2_250m_-102.02808_31.79504?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,426.56535919255504,639.85,2,2025-05-21,2025-07-23,31.79504,-102.02808,329-35111,DIAMONDBACK E&P LLC,217012,0.39,1,1,72.6,"[836041] TARGA PL MID-CONT WESTTEX LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC; [913450] WGR, INC.; [148113] CHEVRON U. S. A. INC."
CH4_1B2_250m_-101.97001_31.72243?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,291.4690128463029,291.47,2,2025-05-21,2025-07-23,31.72243,-101.97001,329-35082,DIAMONDBACK E&P LLC,217012,0.11,22,4,41.3,[148113] CHEVRON U. S. A. INC.
CH4_1B2_250m_-101.87377_31.88407?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,261.77351576212874,785.32,1,2025-07-23,2025-07-23,31.88407,-101.87377,329-33172,DIAMONDBACK E&P LLC,217012,0.36,2,1,46.5,"[319471] GPM GAS CORPORATION; [319468] GPM GAS COMPANY, LLC; [250300] EL PASO NATURAL GAS COMPANY; [230719] DUKE ENERGY FIELD SERVICES, LP; [195959] DCP OPERATING COMPANY, LP; [913450] WGR, INC.; [195918] DCP MIDSTREAM, LP"
CH4_1B2_250m_-101.86959_31.91082?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,209.12189352314746,627.37,1,2025-07-23,2025-07-23,31.91082,-101.86959,329-40544,"OXYROCK OPERATING, LLC",102324,0.09,32,32,84.0,"[100348] ENT NAVITAS MDSTRM MDLND BAS LLC; [252017] ENERGY TRANSFER COMPANY; [601188] NAVITAS MDSTR MIDLAND BASIN, LLC; [253368] ENTERPRISE PRODUCTS OPERATINGLLC; [836041] TARGA PL MID-CONT WESTTEX LLC; [102508] ETC SOUTH PERMIAN MIDSTREAM LLC; [836037] TARGA MIDSTREAM SERVICES LLC"
CH4_1B2_250m_-102.04166_31.73174?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,180.65733296779783,541.97,1,2025-07-23,2025-07-23,31.73174,-102.04166,329-35627,DIAMONDBACK E&P LLC,217012,0.35,2,2,72.4,"[230719] DUKE ENERGY FIELD SERVICES, LP; [148113] CHEVRON U. S. A. INC.; [195918] DCP MIDSTREAM, LP; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-101.93254_31.91034?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,109.5341331319023,328.6,1,2025-07-23,2025-07-23,31.91034,-101.93254,329-1346,"BURLESON PETROLEUM, INC.",109255,0.1,2,1,65.2,"[195918] DCP MIDSTREAM, LP; [195959] DCP OPERATING COMPANY, LP"
CH4_1B2_250m_-101.90970_31.89876?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-07-23,2025-07-23,31.89876,-101.9097,329-37189,"PIONEER NATURAL RES. USA, INC.",665748,0.32,3,3,74.9,"[836044] TARGA PIPELINE MID-CONTINENT LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.98131_32.26513?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,1531.7245426261816,1531.72,1,2025-07-16,2025-07-16,32.26513,-101.98131,317-40729,"PIONEER NATURAL RES. USA, INC.",665748,0.27,1,1,81.0,"[230719] DUKE ENERGY FIELD SERVICES, LP; [102493] ETC NORTH PERMIAN MIDSTREAM LLC; [195959] DCP OPERATING COMPANY, LP; [663680] PHILLIPS PETROLEUM COMPANY; [195918] DCP MIDSTREAM, LP; [319471] GPM GAS CORPORATION; [319468] GPM GAS COMPANY, LLC; [661637] PHILLIPS 66 NATURAL GAS COMPANY; [945218] WTG NORTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-102.11381_32.10187?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,832.5764051308032,832.58,1,2025-07-16,2025-07-16,32.10187,-102.11381,317-38551,OCCIDENTAL PERMIAN LTD.,617544,0.31,10,10,71.1,"[910285] WEST TEXAS GAS, INC.; [179361] CORONADO MIDSTREAM LLC"
CH4_1B2_250m_-102.00725_32.26034?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,701.299472691021,701.3,1,2025-07-16,2025-07-16,32.26034,-102.00725,317-36045,"PIONEER NATURAL RES. USA, INC.",665748,0.33,17,1,19.8,"[945218] WTG NORTH PERMIAN MIDSTREAM LLC; [945227] WTG GAS PROCESSING, L.P.; [102493] ETC NORTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-102.16586_31.83579?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-07-16,2025-07-16,31.83579,-102.16586,329-36670,COG OPERATING LLC,166150,0.27,3,3,77.8,"[195918] DCP MIDSTREAM, LP; [179361] CORONADO MIDSTREAM LLC; [252017] ENERGY TRANSFER COMPANY"
CH4_1B2_250m_-102.08141_31.69970?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-07-16,2025-07-16,31.6997,-102.08141,329-41583,OVINTIV USA INC.,628658,0.17,27,26,76.6,[252017] ENERGY TRANSFER COMPANY
CH4_1B2_250m_-103.70561_31.98151?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,340.58247676644845,454.11,3,2025-01-29,2025-07-11,31.98151,-103.70561,301-35305,"NGL WATER SOLUTIONS PERMIAN, LLC",609265,0.49,2,1,38.0,NULL
CH4_1B2_250m_-103.78826_31.78059?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,203.97845192131172,407.96,1,2025-07-11,2025-07-11,31.78059,-103.78826,301-32244,SHELL WESTERN E&P,774719,0.03,2,2,94.8,"[773822] SHELL ENERGY NORTH AM. (US), LP"
CH4_1B2_250m_-101.84139_32.30381?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,538.535843111125,1077.07,1,2025-07-09,2025-07-09,32.30381,-101.84139,317-37546,SCOUT ENERGY MANAGEMENT LLC,760218,0.1,6,6,86.0,"[945227] WTG GAS PROCESSING, L.P."
CH4_1B2_250m_-101.88574_31.93886?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,332.22933624106815,996.69,1,2025-07-09,2025-07-09,31.93886,-101.88574,329-37305,"PIONEER NATURAL RES. USA, INC.",665748,0.19,7,6,72.7,"[836041] TARGA PL MID-CONT WESTTEX LLC; [250300] EL PASO NATURAL GAS COMPANY; [913450] WGR, INC.; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.82816_32.26433?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,186.988609832753,373.98,2,2025-06-25,2025-07-09,32.26433,-101.82816,317-34399,DIAMONDBACK E&P LLC,217012,0.25,4,2,54.7,"[195918] DCP MIDSTREAM, LP; [102487] ETC GAS PROCESSING, LLC; [230719] DUKE ENERGY FIELD SERVICES, LP; [945227] WTG GAS PROCESSING, L.P.; [100224] WTG GAS PROCESSING, LLC"
CH4_1B2_250m_-101.90452_32.24152?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,134.6801830775783,538.72,1,2025-07-09,2025-07-09,32.24152,-101.90452,317-41281,"PIONEER NATURAL RES. USA, INC.",665748,0.32,5,5,74.5,"[945218] WTG NORTH PERMIAN MIDSTREAM LLC; [945227] WTG GAS PROCESSING, L.P.; [102493] ETC NORTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-101.72898_32.17965?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,100.74222934846054,201.48,1,2025-07-09,2025-07-09,32.17965,-101.72898,317-33167,"PIONEER NATURAL RES. USA, INC.",665748,0.23,2,1,55.7,"[195959] DCP OPERATING COMPANY, LP; [230719] DUKE ENERGY FIELD SERVICES, LP; [102493] ETC NORTH PERMIAN MIDSTREAM LLC; [663680] PHILLIPS PETROLEUM COMPANY; [195918] DCP MIDSTREAM, LP; [661637] PHILLIPS 66 NATURAL GAS COMPANY; [319471] GPM GAS CORPORATION; [319468] GPM GAS COMPANY, LLC; [945218] WTG NORTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-101.86902_31.97491?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,100.59754235916746,301.79,1,2025-07-09,2025-07-09,31.97491,-101.86902,329-34786,"PIONEER NATURAL RES. USA, INC.",665748,0.11,17,2,38.2,"[195918] DCP MIDSTREAM, LP; [648965] PECOS COMPANY; [17950] AMERICAN CENTRAL GAS COS. INC.; [913450] WGR, INC.; [871118] TRISTAR ENERGY COMPANY; [230719] DUKE ENERGY FIELD SERVICES, LP; [246991] EL PASO HYDROCARBONS COMPANY; [561121] MERIDIAN OIL HYDROCARBONS INC.; [836041] TARGA PL MID-CONT WESTTEX LLC; [319471] GPM GAS CORPORATION; [319468] GPM GAS COMPANY, LLC"
CH4_1B2_250m_-101.78647_32.20739?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,99.92134391358519,199.84,2,2025-01-01,2025-07-09,32.20739,-101.78647,317-40605,"CIVITAS PERMIAN OPERATING, LLC",101577,0.12,13,12,77.7,"[836041] TARGA PL MID-CONT WESTTEX LLC; [195959] DCP OPERATING COMPANY, LP; [195918] DCP MIDSTREAM, LP"
CH4_1B2_250m_-101.92220_31.88392?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,97.74864288354452,293.25,1,2025-07-09,2025-07-09,31.88392,-101.9222,329-40734,"OXYROCK OPERATING, LLC",102324,0.05,6,2,55.8,"[100883] ET GATHERING & PROCESSING LLC; [252017] ENERGY TRANSFER COMPANY; [601188] NAVITAS MDSTR MIDLAND BASIN, LLC; [665643] PINNACLE DOS PICOS LLC"
CH4_1B2_250m_-101.72655_32.25100?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,94.38444888643988,283.15,1,2025-07-09,2025-07-09,32.251,-101.72655,317-44394,DIAMONDBACK E&P LLC,217012,0.26,16,11,56.2,"[252769] ENLINK GAS MARKETING, LP"
CH4_1B2_250m_-101.84924_31.88703?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,58.711531789681366,234.85,1,2025-07-09,2025-07-09,31.88703,-101.84924,329-41679,DIAMONDBACK E&P LLC,217012,0.11,16,11,66.6,"[100348] ENT NAVITAS MDSTRM MDLND BAS LLC; [601188] NAVITAS MDSTR MIDLAND BASIN, LLC; [253368] ENTERPRISE PRODUCTS OPERATINGLLC"
CH4_1B2_250m_-101.75652_32.22679?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,51.61053640543995,154.83,1,2025-07-09,2025-07-09,32.22679,-101.75652,317-44351,"FOURPOINT ENERGY, LLC",280969,0.07,17,9,61.3,[102493] ETC NORTH PERMIAN MIDSTREAM LLC; [945218] WTG NORTH PERMIAN MIDSTREAM LLC
CH4_1B2_250m_-101.91358_32.21219?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,34.5250604254829,138.1,1,2025-07-09,2025-07-09,32.21219,-101.91358,317-37214,"PIONEER NATURAL RES. USA, INC.",665748,0.33,1,1,76.9,"[945227] WTG GAS PROCESSING, L.P.; [102493] ETC NORTH PERMIAN MIDSTREAM LLC; [945218] WTG NORTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-104.06573_31.99331?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,113.33129339453988,226.66,1,2025-07-04,2025-07-04,31.99331,-104.06573,109-33812,"SOLARIS WATER MIDSTREAM, LLC",801148,0.54,1,1,65.0,NULL
CH4_1B2_250m_-104.15430_31.99718?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,38.55672522992885,115.67,1,2025-07-04,2025-07-04,31.99718,-104.1543,109-32788,CHEVRON U. S. A. INC.,148113,0.29,4,4,77.0,[148113] CHEVRON U. S. A. INC.
CH4_1B2_250m_-99.45098_28.43460?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,388.40277145391786,1165.21,1,2025-06-30,2025-06-30,28.4346,-99.45098,127-36942,INEOS USA OIL & GAS LLC,424176,0.14,9,9,83.5,"[101701] INEOS ENERGY MARKETING USA LLC; [147724] CHESAPEAKE ENERGY MKTG, L.L.C."
CH4_1B2_250m_-101.69006_32.47382?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,422.6756652440122,422.68,1,2025-06-25,2025-06-25,32.47382,-101.69006,317-35550,"NEW HEIGHT ENERGY, LLC",100152,0.12,5,1,48.5,"[102487] ETC GAS PROCESSING, LLC; [945227] WTG GAS PROCESSING, L.P."
CH4_1B2_250m_-101.84626_32.40790?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,109.46436588907928,218.93,1,2025-06-25,2025-06-25,32.4079,-101.84626,317-32191,"ENVIRONMENTAL DSPL SYSTEMS, LLC",253105,0.13,1,1,91.2,[661637] PHILLIPS 66 NATURAL GAS COMPANY; [319471] GPM GAS CORPORATION; [663680] PHILLIPS PETROLEUM COMPANY
CH4_1B2_250m_-101.71293_32.43816?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-06-25,2025-06-25,32.43816,-101.71293,317-38333,DIAMONDBACK E&P LLC,217012,0.06,4,1,55.3,"[195959] DCP OPERATING COMPANY, LP; [945227] WTG GAS PROCESSING, L.P.; [195918] DCP MIDSTREAM, LP; [102487] ETC GAS PROCESSING, LLC"
CH4_1B2_250m_-103.25648_31.30621?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,212.18372733266366,424.37,2,2025-04-16,2025-06-20,31.30621,-103.25648,389-35345,"VTX ENERGY OPERATING, LLC",101377,0.39,1,1,72.7,NULL
CH4_1B2_250m_-103.22874_31.51353?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,205.58248232973267,274.11,3,2025-03-07,2025-06-20,31.51353,-103.22874,475-34248,APACHE CORPORATION,27200,0.2,11,11,75.9,"[28653] AQUILA SOUTHWEST PIPELINE CORP.; [665707] PIONEER GAS PIPELINE, INC.; [154772] CLAJON GAS COMPANY; [154792] CLAJON GAS COMPANY, L.P."
CH4_1B2_250m_-103.18395_31.34052?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,153.8765658398404,615.51,1,2025-06-20,2025-06-20,31.34052,-103.18395,389-40186,DIAMONDBACK E&P LLC,217012,0.36,3,3,71.9,"[238465] EAGLECLAW MIDSTREAM VENTURES,LLC"
CH4_1B2_250m_-103.19071_31.34981?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-06-20,2025-06-20,31.34981,-103.19071,389-37712,DIAMONDBACK E&P LLC,217012,0.52,2,2,62.0,"[238465] EAGLECLAW MIDSTREAM VENTURES,LLC"
CH4_1B2_250m_-100.05069_28.42254?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,186.64192262798613,746.57,1,2025-06-11,2025-06-11,28.42254,-100.05069,127-38581,"GRIT OIL & GAS MANAGEMENT, LLC",334912,0.08,9,8,81.8,"[85349] BP ENERGY CO.; [878959] UPSTREAM ENERGY SERVICES; [405962] HOWARD MARKETING, LLC"
CH4_1B2_250m_-100.09553_28.25401?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,183.35407976060225,733.42,1,2025-06-11,2025-06-11,28.25401,-100.09553,127-33774,"GRIT OIL & GAS MANAGEMENT, LLC",334912,0.11,6,5,76.7,[253368] ENTERPRISE PRODUCTS OPERATINGLLC; [845940] TEXAS GAS MARKETING LLC; [85349] BP ENERGY CO.; [878959] UPSTREAM ENERGY SERVICES
CH4_1B2_250m_-100.12987_28.20046?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,108.20432944965742,432.82,1,2025-06-11,2025-06-11,28.20046,-100.12987,323-33662,"STRAND ENERGY, L.C.",824758,0.49,4,4,62.6,[100883] ET GATHERING & PROCESSING LLC
CH4_1B2_250m_-102.20143_31.55607?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,428.74574003943644,857.49,1,2025-05-28,2025-05-28,31.55607,-102.20143,461-42534,FIREBIRD ENERGY II LLC,101413,0.11,13,10,70.4,[252017] ENERGY TRANSFER COMPANY; [945219] WTG SOUTH PERMIAN MIDSTREAM LLC
CH4_1B2_250m_-102.23903_31.68271?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,89.31073633430579,178.62,1,2025-05-28,2025-05-28,31.68271,-102.23903,329-40208,SUMMIT PETROLEUM LLC,829221,0.03,6,6,91.2,"[945227] WTG GAS PROCESSING, L.P.; [102508] ETC SOUTH PERMIAN MIDSTREAM LLC; [945219] WTG SOUTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-102.18897_31.56301?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,71.80588082390918,143.61,1,2025-05-28,2025-05-28,31.56301,-102.18897,461-32387,SM ENERGY COMPANY,788997,0.22,3,1,48.5,"[230721] DUKE ENERGY FLD SRVCS ASSETS LLC; [195918] DCP MIDSTREAM, LP; [230719] DUKE ENERGY FIELD SERVICES, LP; [572390] MOBIL NATURAL GAS INC.; [195959] DCP OPERATING COMPANY, LP; [230767] DUKE ENERGY FIELD SERVICES, INC.; [572550] MOBIL PRODUCING TX. & N.M. INC.; [637947] PANENERGY FIELD SERVICES, INC."
CH4_1B2_250m_-102.17594_31.73262?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-05-28,2025-05-28,31.73262,-102.17594,329-33913,APACHE CORPORATION,27200,0.22,9,9,77.9,[40798] BP AMERICA PRODUCTION COMPANY; [29347] ARCO PERMIAN; [27200] APACHE CORPORATION
CH4_1B2_250m_-102.18974_31.64161?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-05-28,2025-05-28,31.64161,-102.18974,461-34341,"DISCOVERY OPERATING, INC.",220865,0.16,6,6,81.6,[100348] ENT NAVITAS MDSTRM MDLND BAS LLC; [253368] ENTERPRISE PRODUCTS OPERATINGLLC; [148113] CHEVRON U. S. A. INC.; [40798] BP AMERICA PRODUCTION COMPANY
CH4_1B2_250m_-101.99484_31.48281?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,1649.8614371263404,1649.86,1,2025-05-21,2025-05-21,31.48281,-101.99484,461-32648,"PIONEER NATURAL RES. USA, INC.",665748,0.3,3,3,75.7,"[36584] ATLAS PIPELINE MID-CONTINENT LLC; [836044] TARGA PIPELINE MID-CONTINENT LLC; [911908] WESTERN GAS RESOURCES-TEXAS,INC.; [911907] WESTERN GAS RESOURCES TEXAS LLC; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-102.08649_31.34372?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,1095.7184203808897,1095.72,1,2025-05-21,2025-05-21,31.34372,-102.08649,461-36363,SUMMIT PETROLEUM LLC,829221,0.18,8,5,61.4,"[945219] WTG SOUTH PERMIAN MIDSTREAM LLC; [195918] DCP MIDSTREAM, LP; [102508] ETC SOUTH PERMIAN MIDSTREAM LLC; [945227] WTG GAS PROCESSING, L.P."
CH4_1B2_250m_-101.83047_31.91776?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,1052.407906488748,4209.63,1,2025-05-21,2025-05-21,31.91776,-101.83047,329-36771,"PIONEER NATURAL RES. USA, INC.",665748,0.02,16,1,41.4,"[836041] TARGA PL MID-CONT WESTTEX LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.98600_31.67350?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,948.9049103887351,1423.36,2,2025-05-07,2025-05-21,31.6735,-101.986,329-46999,XTO ENERGY INC.,945936,0.3,17,17,69.0,[836041] TARGA PL MID-CONT WESTTEX LLC
